sp,sr,sy,se,max_disp,final_disp,fwd,outward,upward,sat_rate
0,-1,1,1,0.048216562718153,0.048216562718153,-0.043392181396484375,-0.014351367950439453,0.015362083911895752,0.0
1,0,-1,-1,0.048156701028347015,0.03180853649973869,-7.05718994140625e-05,0.031798362731933594,0.000801384449005127,0.0
-1,-1,1,1,0.047861576080322266,0.022023219615221024,-0.019893646240234375,-0.00281524658203125,0.00901883840560913,0.0
1,0,1,1,0.04714568704366684,0.04266059771180153,0.03724479675292969,0.015861034393310547,-0.013460278511047363,0.0
0,0,-1,0,0.046954479068517685,0.02827831730246544,-0.024094581604003906,-0.011866569519042969,0.00884866714477539,0.0
1,-1,0,-1,0.04680570214986801,0.01682538166642189,0.00870513916015625,0.0130615234375,-0.006058931350708008,0.0
1,0,0,-1,0.045952409505844116,0.03619951009750366,0.028257369995117188,0.0149078369140625,-0.017020046710968018,0.0
-1,0,0,-1,0.043839942663908005,0.04146554693579674,0.038727760314941406,0.004319190979003906,-0.014173805713653564,0.0
1,0,1,-1,0.04383905604481697,0.038870930671691895,0.03193473815917969,0.01807117462158203,-0.012827873229980469,0.0
1,-1,1,0,0.04346158355474472,0.0015792303020134568,0.0008096694946289062,0.00037860870361328125,-0.0013019442558288574,0.0
1,-1,0,1,0.04337352141737938,0.02766989730298519,-0.018105506896972656,-0.015592575073242188,0.013952970504760742,0.0
-1,0,0,1,0.042973533272743225,0.0019025654764845967,0.001758575439453125,2.1457672119140625e-05,0.0007257461547851562,0.0
-1,0,-1,0,0.042241476476192474,0.015252171084284782,-0.004383087158203125,-0.008736610412597656,-0.011708498001098633,0.0
0,0,1,-1,0.042012229561805725,0.04144904762506485,0.037566184997558594,0.01194143295288086,-0.012814342975616455,0.0
-1,0,-1,-1,0.04128840193152428,0.033872563391923904,-0.009797096252441406,0.032230377197265625,0.0035454630851745605,0.0
-1,-1,0,0,0.04072051867842674,0.021911822259426117,-0.013798713684082031,-0.0021982192993164062,0.016878724098205566,0.0
1,-1,1,-1,0.038529377430677414,0.02834990806877613,0.019544601440429688,0.016397476196289062,-0.012363195419311523,0.0
0,0,0,1,0.03833553194999695,0.006446621380746365,-0.0037889480590820312,0.0022649765014648438,-0.00469815731048584,0.0
-1,-1,-1,0,0.03726435452699661,0.007072205189615488,-0.0065021514892578125,0.0025115013122558594,-0.0011960268020629883,0.0
0,-1,0,0,0.03639461100101471,0.028329158201813698,-0.025193214416503906,-0.006776332855224609,0.01104193925857544,0.0
-1,0,1,-1,0.03582403436303139,0.03150095418095589,0.02739429473876953,0.006550788879394531,-0.014104962348937988,0.0
1,-1,0,0,0.03473906219005585,0.020071661099791527,0.015347480773925781,0.009411334991455078,-0.008874297142028809,0.0
-1,-1,1,-1,0.0337410606443882,0.02958573028445244,0.027973175048828125,0.0021886825561523438,-0.009382247924804688,0.0
0,-1,-1,0,0.03330996632575989,0.02454269304871559,-0.02074146270751953,-0.00818634033203125,0.010252773761749268,0.0
0,0,0,-1,0.032647211104631424,0.031357843428850174,0.02655315399169922,0.011044979095458984,-0.012500107288360596,0.0
0,-1,1,0,0.03236943483352661,0.004790006671100855,0.0041027069091796875,0.0005192756652832031,-0.0024170875549316406,0.0
0,0,-1,1,0.03206529840826988,0.00648477952927351,-0.0030736923217773438,0.003178119659423828,0.0047438740730285645,0.0
0,-1,-1,1,0.0316726416349411,0.005585929378867149,0.0053501129150390625,-0.0011115074157714844,0.001159071922302246,0.0
-1,-1,-1,1,0.031303226947784424,0.0019400290912017226,-0.0019235610961914062,0.00022411346435546875,0.0001157522201538086,0.0
-1,-1,0,-1,0.030549369752407074,0.024359188973903656,0.016302108764648438,0.004378795623779297,-0.017562389373779297,0.0
-1,-1,0,1,0.030109399929642677,0.003965048119425774,0.0036382675170898438,-0.0014653205871582031,0.000580906867980957,0.0
0,-1,0,1,0.029452215880155563,0.004032360855489969,0.0031080245971679688,-0.0015153884887695312,0.0020745396614074707,0.0
0,-1,0,-1,0.026943285018205643,0.026943285018205643,0.019235610961914062,0.012164592742919922,-0.014420628547668457,0.0
0,-1,1,-1,0.02557428739964962,0.0237425584346056,0.018976211547851562,0.010064125061035156,-0.010115623474121094,0.0
