step,lf_wx,lf_wy,lf_wz,rf_wx,rf_wy,rf_wz,foot_sep_y,foot_xy_dist,foot_cross,foot_too_close,cf_lf,cf_rf,cf_max_body,cf_max_val,tau_max,pg_z,t_lhp,dp_lhp,t_lhy,dp_lhy,t_lk,dp_lk,t_lap,dp_lap,t_lar,dp_lar,t_rhp,dp_rhp,t_rhy,dp_rhy,t_rk,dp_rk,t_rap,dp_rap,t_rar,dp_rar
23,-9.982931137084961,-4.9219818115234375,0.04421388730406761,-10.036309242248535,-5.244733810424805,0.03031802922487259,-0.3227519989013672,0.32713615894317627,1,0,22.229272842407227,169.34725952148438,12,169.34725952148438,36.0,-0.9071400165557861,-13.721392631530762,-0.0794578343629837,-36.0,-0.32925087213516235,9.204927444458008,0.1339757740497589,-5.130375862121582,0.19792307913303375,-6.574427604675293,-0.07661571353673935,2.5609283447265625,0.45887523889541626,-36.0,-0.11750581860542297,-36.0,0.3972817361354828,18.970991134643555,-0.39569565653800964,0.3722440004348755,0.10770395398139954
24,-9.986659049987793,-4.917690753936768,0.04618915170431137,-10.032325744628906,-5.254416465759277,0.03043200448155403,-0.33672571182250977,0.33980825543403625,1,0,0.0,147.39743041992188,12,147.39743041992188,36.0,-0.8990570306777954,-36.0,-0.08798401057720184,-36.0,-0.3080829977989197,36.0,0.13689430058002472,-22.0,0.1961621195077896,-16.891155242919922,-0.0799575075507164,-15.662812232971191,0.46906018257141113,-36.0,-0.02555365487933159,-36.0,0.41523492336273193,14.340588569641113,-0.41589978337287903,-2.602290391921997,0.09977950900793076
25,-9.992904663085938,-4.913139343261719,0.048879776149988174,-10.024324417114258,-5.266836643218994,0.031108694151043892,-0.3536972999572754,0.35509011149406433,1,0,51.29570770263672,192.34674072265625,12,192.34674072265625,36.0,-0.8982399702072144,-12.702362060546875,-0.1339675635099411,-36.0,-0.30689743161201477,36.0,0.13864721357822418,-13.90913200378418,0.1951538622379303,-10.802691459655762,-0.07597728073596954,2.4755706787109375,0.43789389729499817,-36.0,0.04995865002274513,-36.0,0.47511738538742065,20.133148193359375,-0.443582147359848,-0.7591242790222168,0.12051180005073547
26,-9.998687744140625,-4.911346435546875,0.05174749717116356,-10.02088737487793,-5.274949550628662,0.03070853464305401,-0.3636031150817871,0.36428019404411316,1,0,21.12566566467285,182.400390625,12,182.400390625,36.0,-0.8951003551483154,3.8508005142211914,-0.15098214149475098,-35.09876251220703,-0.2992682456970215,8.569045066833496,0.10401100665330887,-7.00697660446167,0.20112502574920654,-9.871737480163574,-0.07304269075393677,3.7876720428466797,0.4529401957988739,-36.0,0.11427213251590729,-36.0,0.4695272147655487,21.793127059936523,-0.46006688475608826,-1.1223756074905396,0.10298565030097961
27,-10.008279800415039,-4.909570217132568,0.05348282679915428,-10.014473915100098,-5.2812018394470215,0.02997690439224243,-0.3716316223144531,0.3716832399368286,1,0,40.486656188964844,222.38058471679688,12,222.38058471679688,36.0,-0.8855286836624146,-6.298725128173828,-0.15105925500392914,-31.133045196533203,-0.3390927016735077,-1.0878896713256836,0.10519135743379593,-7.580526828765869,0.22360658645629883,-1.3514735698699951,-0.03524763509631157,-7.025163650512695,0.4648784101009369,-36.0,0.1945122629404068,-36.0,0.4551675021648407,18.553279876708984,-0.4557758867740631,1.5589280128479004,0.10113149136304855
28,-10.019308090209961,-4.907093048095703,0.05525284633040428,-10.007038116455078,-5.289015293121338,0.03026174008846283,-0.38192224502563477,0.3821192979812622,1,0,28.073347091674805,353.399169921875,12,353.399169921875,36.0,-0.877264142036438,-36.0,-0.18101485073566437,-36.0,-0.3498304784297943,36.0,0.13796524703502655,-22.0,0.208659827709198,-18.629655838012695,-0.052185624837875366,-7.315727233886719,0.47759339213371277,-36.0,0.2844730019569397,-36.0,0.41532081365585327,17.150611877441406,-0.43055063486099243,5.907031059265137,0.1163511723279953
29,-10.022319793701172,-4.912368297576904,0.06064814329147339,-9.99705696105957,-5.292623996734619,0.030373279005289078,-0.38025569915771484,0.38109397888183594,1,0,0.0,130.69943237304688,12,130.69943237304688,36.0,-0.8875494003295898,-2.6833906173706055,-0.28110840916633606,-36.0,-0.35808467864990234,26.986474990844727,0.13736635446548462,-6.365026473999023,0.1942400336265564,-14.84928035736084,-0.03860558941960335,-1.2908287048339844,0.44047707319259644,-36.0,0.23990412056446075,-36.0,0.38432666659355164,20.846668243408203,-0.3973228335380554,8.46630859375,0.15483321249485016
30,-10.030592918395996,-4.9180006980896,0.06157070770859718,-9.98420524597168,-5.300435543060303,0.030335141345858574,-0.3824348449707031,0.3852379024028778,1,0,0.0,115.241943359375,12,115.241943359375,36.0,-0.893025279045105,-8.048707008361816,-0.3351256549358368,-36.0,-0.3411252200603485,36.0,0.12849627435207367,-15.685079574584961,0.17265565693378448,-17.342775344848633,-0.03966010361909866,1.7737369537353516,0.39643505215644836,-36.0,0.3493816554546356,-36.0,0.37019333243370056,19.667572021484375,-0.3965133726596832,7.166127681732178,0.18914839625358582
31,-10.038676261901855,-4.925592422485352,0.06503956019878387,-9.97585678100586,-5.305699825286865,0.030863014981150627,-0.38010740280151367,0.38526347279548645,1,0,32.13911437988281,95.2786865234375,12,95.2786865234375,36.0,-0.8883073329925537,21.873088836669922,-0.26037344336509705,-0.42352294921875,-0.24820469319820404,-14.737857818603516,0.0001612815394764766,-1.0015578269958496,0.2167583853006363,12.215331077575684,0.06426183134317398,19.08714485168457,0.42025190591812134,-36.0,0.2771165668964386,-36.0,0.3569469153881073,22.0,-0.3875909745693207,5.6924848556518555,0.23684392869472504
32,-10.04934024810791,-4.924953460693359,0.06893924623727798,-9.969717979431152,-5.309257507324219,0.03336683660745621,-0.3843040466308594,0.39246565103530884,1,0,61.8387565612793,74.16889953613281,12,74.16889953613281,36.0,-0.878098726272583,6.366728782653809,-0.2899417281150818,-33.422157287597656,-0.2753179967403412,1.246918797492981,0.06943295150995255,-3.694856643676758,0.11802122741937637,-10.55471134185791,-0.008385511115193367,12.422029495239258,0.4002958834171295,-36.0,0.29513418674468994,-36.0,0.45313066244125366,22.0,-0.42286375164985657,12.34579849243164,0.2458687573671341
33,-10.057254791259766,-4.921701431274414,0.07317814230918884,-9.967279434204102,-5.310000896453857,0.033055275678634644,-0.38829946517944336,0.39858755469322205,1,0,0.0,93.15164947509766,12,93.15164947509766,36.0,-0.8586629033088684,-6.992974281311035,-0.2762663662433624,-35.06718826293945,-0.34141406416893005,-5.255763530731201,0.04182558134198189,9.969048500061035,0.17867720127105713,-19.059663772583008,-0.017702899873256683,4.124652862548828,0.3795621991157532,-36.0,0.34634271264076233,-36.0,0.5045903325080872,22.0,-0.4484988749027252,10.108224868774414,0.25420355796813965
34,-10.06210708618164,-4.924540042877197,0.07357977330684662,-9.973344802856445,-5.303510665893555,0.031234294176101685,-0.3789706230163574,0.3892267644405365,1,0,23.840133666992188,109.42647552490234,12,109.42647552490234,36.0,-0.8222950100898743,9.150270462036133,-0.21773089468479156,-24.979923248291016,-0.3072814345359802,-3.5222485065460205,0.05330757051706314,-2.6639909744262695,0.12111631780862808,-0.8794464468955994,0.07923693209886551,-7.575260162353516,0.39786821603775024,-36.0,0.2293604016304016,-36.0,0.5046712160110474,14.453815460205078,-0.39476436376571655,0.6323361396789551,0.2824863791465759
35,-10.073657035827637,-4.919050216674805,0.07683819532394409,-9.977144241333008,-5.295156955718994,0.031179126352071762,-0.37610673904418945,0.3882924020290375,1,0,0.0,61.0285758972168,12,61.0285758972168,36.0,-0.7860566973686218,-15.385329246520996,-0.23491154611110687,-36.0,-0.34775233268737793,-0.23917917907238007,0.09098966419696808,7.178994655609131,0.17186260223388672,-7.947474002838135,0.07584807276725769,5.271099090576172,0.3771296739578247,-36.0,0.1465163677930832,-36.0,0.4825395941734314,13.51606559753418,-0.27623891830444336,4.85628080368042,0.31241539120674133
36,-10.090540885925293,-4.916205406188965,0.07728619873523712,-9.975181579589844,-5.291981220245361,0.03090725839138031,-0.3757758140563965,0.39308422803878784,1,0,0.0,218.7176513671875,12,218.7176513671875,36.0,-0.7569082379341125,-12.70693302154541,-0.1961110532283783,-32.831642150878906,-0.4007812738418579,-0.5736325979232788,0.08756142109632492,4.9642791748046875,0.13259559869766235,-18.70107078552246,0.07191667705774307,9.732942581176758,0.34691721200942993,-36.0,0.18352414667606354,-36.0,0.5184109210968018,15.713081359863281,-0.23934458196163177,0.7857503890991211,0.35316938161849976
37,-10.10264778137207,-4.917724609375,0.07913870364427567,-9.970287322998047,-5.293780326843262,0.033452704548835754,-0.3760557174682617,0.3986693024635315,1,0,19.299694061279297,67.15641021728516,12,67.15641021728516,36.0,-0.7218952178955078,-6.191341876983643,-0.14353111386299133,-35.76908874511719,-0.43045851588249207,-2.7592451572418213,0.08814635872840881,-1.5376996994018555,0.11707046627998352,1.4813008308410645,0.07743041217327118,12.842113494873047,0.36197763681411743,-36.0,0.2186570167541504,-36.0,0.5466399788856506,20.730966567993164,-0.22548910975456238,9.81774616241455,0.34986865520477295
38,-10.112446784973145,-4.921426773071289,0.07948660850524902,-9.965428352355957,-5.292241096496582,0.03443935513496399,-0.37081432342529297,0.39889559149742126,1,0,84.11286163330078,179.85549926757812,12,179.85549926757812,36.0,-0.6886993050575256,-36.0,-0.1552404761314392,-36.0,-0.4425170123577118,36.0,0.1516156792640686,-18.143096923828125,0.12840664386749268,14.236112594604492,0.06741451472043991,10.715435028076172,0.3751239776611328,-36.0,0.24698437750339508,-36.0,0.5154345035552979,20.891294479370117,-0.18614539504051208,7.8075432777404785,0.356306791305542
39,-10.110247611999512,-4.928300857543945,0.08369280397891998,-9.961993217468262,-5.293555736541748,0.036265186965465546,-0.36525487899780273,0.3941960036754608,1,0,0.0,60.491519927978516,12,60.491519927978516,36.0,-0.6652569770812988,-16.95400619506836,-0.18297986686229706,-36.0,-0.42460229992866516,36.0,0.13301298022270203,-17.805830001831055,0.12430936098098755,15.412294387817383,0.0642118901014328,24.395492553710938,0.35305583477020264,-36.0,0.27114957571029663,-36.0,0.52451092004776,22.0,-0.16756506264209747,9.44472885131836,0.3506208658218384
40,-10.10632038116455,-4.940387725830078,0.08505922555923462,-9.959864616394043,-5.299494743347168,0.03738052025437355,-0.35910701751708984,0.38782358169555664,1,0,0.0,174.16293334960938,12,174.16293334960938,36.0,-0.621191143989563,-2.465801239013672,-0.10649751871824265,-36.0,-0.4202367067337036,-10.913251876831055,0.033965252339839935,4.150443077087402,0.2126089483499527,16.42455291748047,0.0623089000582695,19.457012176513672,0.370952844619751,-36.0,0.3472677767276764,-36.0,0.5408495664596558,22.0,-0.18763218820095062,9.415545463562012,0.3535076975822449
41,-10.09709644317627,-4.957192420959473,0.08198226243257523,-9.95433521270752,-5.302488327026367,0.04010206460952759,-0.34529590606689453,0.37364426255226135,1,0,83.50128173828125,94.08662414550781,12,94.08662414550781,36.0,-0.5660895109176636,0.4319019317626953,0.00048669162788428366,-36.0,0.0001666228345129639,1.2021362781524658,-1.505343425378669e-05,10.577061653137207,4.190738400211558e-05,14.659212112426758,2.6460053049959242e-05,7.816194534301758,0.000492223771288991,-36.0,-0.000170049155713059,-36.0,-5.118963963468559e-05,17.17406463623047,0.00014526992163155228,3.9175448417663574,1.5907884517218918e-05
