frame,ball_x,ball_y,ball_z,re_x,re_y,re_z,le_x,le_y,le_z,re_to_ball,le_to_ball,ee_raw
10,-8.759171485900879,-5.310147762298584,0.1265246868133545,-9.984879493713379,-5.122938632965088,0.5747314095497131,-10.002182006835938,-4.878615856170654,0.5717169642448425,1.3184447288513184,1.3890612125396729,1.0043742656707764
11,-8.754860877990723,-5.302701473236084,0.10000116378068924,-9.982455253601074,-5.122865676879883,0.5752242803573608,-10.002849578857422,-4.878733158111572,0.5716730952262878,1.3285953998565674,1.3998926877975464,1.0036466121673584
12,-8.754345893859863,-5.30188512802124,0.10000116378068924,-9.980411529541016,-5.122796058654785,0.5756810307502747,-10.003512382507324,-4.8788065910339355,0.5716338753700256,1.3272457122802734,1.400660514831543,1.0028947591781616
13,-8.75386905670166,-5.3010382652282715,0.10000116378068924,-9.978635787963867,-5.122730255126953,0.5761148929595947,-10.00407886505127,-4.878845691680908,0.5716096758842468,1.3260964155197144,1.401315689086914,1.0022194385528564
14,-8.753365516662598,-5.300195217132568,0.10000116378068924,-9.977022171020508,-5.122665882110596,0.5765493512153625,-10.00450611114502,-4.878870010375977,0.5716000199317932,1.3251228332519531,1.4018820524215698,1.001686692237854
15,-8.75289249420166,-5.2993903160095215,0.10000116378068924,-9.975491523742676,-5.122597694396973,0.5770033597946167,-10.004791259765625,-4.878880023956299,0.571603000164032,1.3242111206054688,1.4023151397705078,1.0013062953948975
16,-8.752411842346191,-5.298593044281006,0.10000116378068924,-9.973989486694336,-5.1225199699401855,0.5774878263473511,-10.004958152770996,-4.878878593444824,0.5716148614883423,1.3233469724655151,1.4026588201522827,1.001056432723999
17,-8.751927375793457,-5.297807216644287,0.10000116378068924,-9.972479820251465,-5.122425079345703,0.5780121684074402,-10.005044937133789,-4.8788628578186035,0.5716293454170227,1.3224982023239136,1.402943730354309,1.0008999109268188
18,-8.75142765045166,-5.297040939331055,0.10000116378068924,-9.97094440460205,-5.122311115264893,0.5785764455795288,-10.005105018615723,-4.878838062286377,0.57164466381073,1.3216602802276611,1.4032278060913086,1.00077223777771
19,-8.750897407531738,-5.296236515045166,0.10000116378068924,-9.969383239746094,-5.122166156768799,0.5791809558868408,-10.005176544189453,-4.878791332244873,0.571657121181488,1.3208411931991577,1.4035440683364868,1.0006258487701416
20,-8.750332832336426,-5.295446872711182,0.10000116378068924,-9.967788696289062,-5.1219940185546875,0.5798289179801941,-10.005290031433105,-4.878725051879883,0.5716620683670044,1.3200452327728271,1.4039368629455566,1.000430941581726
21,-8.74980354309082,-5.294691562652588,0.10000116378068924,-9.966161727905273,-5.121790885925293,0.580520510673523,-10.005448341369629,-4.8786420822143555,0.5716559886932373,1.3192121982574463,1.4043500423431396,1.0001925230026245
22,-8.749288558959961,-5.29397439956665,0.10000116378068924,-9.96450424194336,-5.121562957763672,0.5812546014785767,-10.005658149719238,-4.878544330596924,0.5716378688812256,1.3183624744415283,1.4048088788986206,0.9999043345451355
23,-8.748811721801758,-5.293259143829346,0.10000116378068924,-9.962830543518066,-5.121315956115723,0.5820316672325134,-10.005915641784668,-4.878437519073486,0.5716086626052856,1.317482352256775,1.4052760601043701,0.9995713233947754
24,-8.74830436706543,-5.29257345199585,0.10000116378068924,-9.961141586303711,-5.121047019958496,0.5828487873077393,-10.006208419799805,-4.878321170806885,0.571569561958313,1.3166385889053345,1.4058109521865845,0.9992075562477112
25,-8.747774124145508,-5.291869640350342,0.10000116378068924,-9.95944881439209,-5.1207661628723145,0.5837041735649109,-10.006518363952637,-4.878202438354492,0.5715221762657166,1.3158268928527832,1.4063746929168701,0.9988361597061157
26,-8.747209548950195,-5.29115629196167,0.10000116378068924,-9.95776653289795,-5.120477676391602,0.5845933556556702,-10.00683879852295,-4.878081798553467,0.5714704394340515,1.3150699138641357,1.4069753885269165,0.9984572529792786
27,-8.746614456176758,-5.290406703948975,0.10000116378068924,-9.956095695495605,-5.120182991027832,0.5855156183242798,-10.007155418395996,-4.8779616355896,0.5714156627655029,1.3143612146377563,1.4075887203216553,0.9980878233909607
