frame,ball_x,ball_y,ball_z,re_x,re_y,re_z,le_x,le_y,le_z,re_to_ball,le_to_ball,ee_raw
10,-7.241982460021973,-5.368270397186279,0.10146385431289673,-10.001994132995605,-5.123382568359375,0.572778046131134,-10.001956939697266,-4.878149509429932,0.5715120434761047,2.8106532096862793,2.842291831970215,0.6596797704696655
11,-7.246798515319824,-5.368916988372803,0.10000096261501312,-10.00217342376709,-5.123443126678467,0.5727380514144897,-10.002128601074219,-4.878215312957764,0.5715512037277222,2.8063907623291016,2.8381316661834717,0.6594600081443787
12,-7.250728130340576,-5.369435787200928,0.10000096261501312,-10.002388000488281,-5.123506546020508,0.5726938247680664,-10.002344131469727,-4.8782806396484375,0.571592390537262,2.8027756214141846,2.834611654281616,0.6592068076133728
13,-7.254619121551514,-5.369931697845459,0.10000096261501312,-10.002631187438965,-5.123571395874023,0.5726476907730103,-10.002593994140625,-4.8783440589904785,0.5716334581375122,2.799224615097046,2.8311591148376465,0.658931314945221
14,-7.258513450622559,-5.370458126068115,0.10000096261501312,-10.002897262573242,-5.1236395835876465,0.5726056694984436,-10.0028715133667,-4.878407001495361,0.571668803691864,2.795696258544922,2.827735185623169,0.658648669719696
15,-7.262390613555908,-5.370952129364014,0.10000096261501312,-10.00317668914795,-5.1237077713012695,0.5725691318511963,-10.003165245056152,-4.878473281860352,0.571698784828186,2.792196035385132,2.8243370056152344,0.6583640575408936
16,-7.266296863555908,-5.371488094329834,0.10000096261501312,-10.003473281860352,-5.123773574829102,0.572536826133728,-10.003475189208984,-4.878535747528076,0.571723222732544,2.788689136505127,2.8209340572357178,0.6580801606178284
17,-7.270237922668457,-5.371982097625732,0.10000096261501312,-10.003777503967285,-5.123836040496826,0.5725091099739075,-10.003789901733398,-4.878596305847168,0.5717436671257019,2.7851531505584717,2.8174948692321777,0.6578008532524109
18,-7.274153709411621,-5.372478008270264,0.10000096261501312,-10.004100799560547,-5.123888969421387,0.572485089302063,-10.004122734069824,-4.87864875793457,0.5717602372169495,2.781662940979004,2.8140993118286133,0.6575188636779785
19,-7.278054237365723,-5.372941493988037,0.10000096261501312,-10.004441261291504,-5.12392520904541,0.5724627375602722,-10.004465103149414,-4.878684997558594,0.5717738270759583,2.7782037258148193,2.810724973678589,0.6572409868240356
20,-7.2819929122924805,-5.3734259605407715,0.10000096261501312,-10.004804611206055,-5.123945713043213,0.5724435448646545,-10.004822731018066,-4.878705978393555,0.5717849135398865,2.774733543395996,2.8073348999023438,0.656961977481842
21,-7.285956382751465,-5.373900890350342,0.10000096261501312,-10.0051908493042,-5.12394905090332,0.5724265575408936,-10.005196571350098,-4.87870979309082,0.5717934370040894,2.7712628841400146,2.803938150405884,0.6566821932792664
22,-7.289953708648682,-5.374358654022217,0.10000096261501312,-10.00560188293457,-5.123933792114258,0.572413444519043,-10.00558853149414,-4.878694534301758,0.5717955827713013,2.767784595489502,2.8005259037017822,0.6564081311225891
23,-7.293972492218018,-5.374850749969482,0.10000097006559372,-10.006036758422852,-5.123908042907715,0.5724032521247864,-10.006002426147461,-4.878667831420898,0.5717939734458923,2.7643134593963623,2.7971222400665283,0.6561287641525269
24,-7.298020839691162,-5.375306606292725,0.10000097006559372,-10.006491661071777,-5.123865604400635,0.5723971724510193,-10.00643539428711,-4.878627300262451,0.5717864036560059,2.7608323097229004,2.79370379447937,0.6558511257171631
25,-7.30209493637085,-5.375796794891357,0.10000097006559372,-10.00696849822998,-5.123814105987549,0.5723955631256104,-10.006893157958984,-4.878575325012207,0.5717719197273254,2.757352352142334,2.790292263031006,0.6555712819099426
26,-7.306142330169678,-5.376260280609131,0.10000097006559372,-10.007464408874512,-5.123758316040039,0.5724000930786133,-10.007377624511719,-4.878519058227539,0.5717511177062988,2.7539169788360596,2.7869279384613037,0.6552850008010864
27,-7.310229778289795,-5.3767409324646,0.10000097006559372,-10.007977485656738,-5.1236982345581055,0.5724086165428162,-10.007884979248047,-4.8784589767456055,0.5717253684997559,2.750462055206299,2.783550262451172,0.6549914479255676
