side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
left,combo,0,combo,-10.074788093566895,-4.795695781707764,0.6546324491500854,0.14321665465831757
left,combo,0,combo,-9.993919372558594,-4.7905707359313965,0.6333882212638855,0.0938403531908989
left,combo,0,combo,-9.968514442443848,-4.778451442718506,0.6458163857460022,0.11007658392190933
left,combo,0,combo,-9.973158836364746,-4.808274745941162,0.6163771748542786,0.06795115768909454
left,combo,0,combo,-9.996491432189941,-4.774105548858643,0.6446182131767273,0.11370951682329178
left,combo,0,combo,-10.091241836547852,-4.8159074783325195,0.6451833248138428,0.1427575647830963
left,combo,0,combo,-10.064157485961914,-4.780353546142578,0.6721869111061096,0.15483295917510986
left,combo,0,combo,-10.033097267150879,-4.853055000305176,0.5934773683547974,0.06069313734769821
left,combo,0,combo,-9.968915939331055,-4.838658809661865,0.6032458543777466,0.03932546079158783
left,combo,0,combo,-10.018455505371094,-4.774810314178467,0.6455787420272827,0.1194954663515091
left,combo,0,combo,-10.054780960083008,-4.797057151794434,0.6403158903121948,0.12093018740415573
left,combo,0,combo,-10.099255561828613,-4.816009521484375,0.6690346002578735,0.16255158185958862
left,combo,0,combo,-9.938342094421387,-4.806125640869141,0.6420706510543823,0.09690931439399719
left,combo,0,combo,-10.062237739562988,-4.791994094848633,0.6578163504600525,0.13872870802879333
left,combo,0,combo,-9.980957984924316,-4.835799694061279,0.5990726947784424,0.03664528951048851
left,combo,0,combo,-9.956196784973145,-4.802387237548828,0.6364067196846008,0.08904534578323364
left,combo,0,combo,-10.084184646606445,-4.861263751983643,0.6100776791572571,0.11418915539979935
left,combo,0,combo,-10.088558197021484,-4.804572105407715,0.6799293756484985,0.1652042269706726
left,combo,0,combo,-10.0137300491333,-4.814921855926514,0.6067026257514954,0.0670999214053154
left,combo,0,combo,-9.9805326461792,-4.821883678436279,0.6075748801231384,0.05205848067998886
left,combo,0,combo,-10.04967975616455,-4.837001323699951,0.6049785017967224,0.08298473060131073
left,combo,0,combo,-10.083771705627441,-4.799619674682617,0.6581227779388428,0.14991794526576996
left,combo,0,combo,-9.999157905578613,-4.790635108947754,0.6261400580406189,0.09016387164592743
left,combo,0,combo,-10.052302360534668,-4.798591613769531,0.6295772194862366,0.11253838241100311
left,combo,0,combo,-10.05718994140625,-4.7869791984558105,0.6413812041282654,0.12835989892482758
left,combo,0,combo,-9.966273307800293,-4.811127185821533,0.6224759221076965,0.07109368592500687
left,combo,0,combo,-10.039717674255371,-4.793591499328613,0.6306867003440857,0.10810422152280807
left,combo,0,combo,-9.954975128173828,-4.813965797424316,0.6271334886550903,0.07542553544044495
left,combo,0,combo,-10.036162376403809,-4.798818588256836,0.6254913806915283,0.10004367679357529
left,combo,0,combo,-9.967818260192871,-4.809792518615723,0.6234756708145142,0.07248783111572266
left,combo,0,combo,-10.046368598937988,-4.787134170532227,0.6536756753921509,0.12943844497203827
left,combo,0,combo,-9.988851547241211,-4.781219959259033,0.6372829079627991,0.10254479944705963
left,combo,0,combo,-9.970297813415527,-4.791623592376709,0.633851170539856,0.09220407158136368
left,combo,0,combo,-10.078293800354004,-4.787369251251221,0.6858159303665161,0.16901777684688568
left,combo,0,combo,-10.102706909179688,-4.850508213043213,0.6291028261184692,0.138811856508255
