side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
right,combo,0,combo,-9.923720359802246,-5.179915428161621,0.6182562112808228,0.5277402997016907
right,combo,0,combo,-10.020438194274902,-5.193779468536377,0.5980198979377747,0.5429441332817078
right,combo,0,combo,-10.099909782409668,-5.1791791915893555,0.6221650242805481,0.6078622937202454
right,combo,0,combo,-10.0559663772583,-5.2168474197387695,0.6236798763275146,0.5724093914031982
right,combo,0,combo,-10.05396842956543,-5.231556415557861,0.6455329656600952,0.5843788385391235
right,combo,0,combo,-10.084667205810547,-5.148717403411865,0.5973050594329834,0.5935803055763245
right,combo,0,combo,-9.950060844421387,-5.181672096252441,0.6022049188613892,0.522135317325592
right,combo,0,combo,-10.067733764648438,-5.160458564758301,0.5962671041488647,0.57878178358078
right,combo,0,combo,-9.961651802062988,-5.226193904876709,0.6187869906425476,0.523166835308075
right,combo,0,combo,-9.949760437011719,-5.211289405822754,0.6169095635414124,0.5225490927696228
right,combo,0,combo,-10.122076034545898,-5.183821678161621,0.65236496925354,0.6411424875259399
right,combo,0,combo,-10.082624435424805,-5.198588848114014,0.628452479839325,0.5962461829185486
right,combo,0,combo,-10.09736156463623,-5.223193168640137,0.6746938228607178,0.632567286491394
right,combo,0,combo,-9.914169311523438,-5.192931175231934,0.6270520687103271,0.5270916223526001
right,combo,0,combo,-10.038276672363281,-5.170943260192871,0.591367244720459,0.5556876063346863
right,combo,0,combo,-9.989986419677734,-5.233550548553467,0.6247959136962891,0.5371456742286682
right,combo,0,combo,-10.017017364501953,-5.152109622955322,0.5778534412384033,0.5436711311340332
right,combo,0,combo,-9.982791900634766,-5.142840385437012,0.5792668461799622,0.5342497825622559
right,combo,0,combo,-10.080434799194336,-5.211521148681641,0.6407068371772766,0.6002801656723022
right,combo,0,combo,-9.978925704956055,-5.219559669494629,0.6142145395278931,0.5283446311950684
right,combo,0,combo,-10.100201606750488,-5.195477485656738,0.6325790286064148,0.6100091934204102
right,combo,0,combo,-10.013738632202148,-5.209768295288086,0.5968647003173828,0.5328035354614258
right,combo,0,combo,-10.058740615844727,-5.1827826499938965,0.5983867049217224,0.5665355920791626
right,combo,0,combo,-10.040053367614746,-5.130896091461182,0.578607439994812,0.5653181672096252
right,combo,0,combo,-10.125181198120117,-5.13522481918335,0.6246002316474915,0.6412342190742493
right,combo,0,combo,-9.937166213989258,-5.227889537811279,0.6331225633621216,0.5264517068862915
right,combo,0,combo,-10.097479820251465,-5.207797050476074,0.6645534038543701,0.6292322278022766
right,combo,0,combo,-10.096367835998535,-5.164518356323242,0.6148480772972107,0.6061536073684692
right,combo,0,combo,-9.91464614868164,-5.204512596130371,0.6305060982704163,0.525682270526886
right,combo,0,combo,-10.033818244934082,-5.198217868804932,0.6009908318519592,0.5500075221061707
right,combo,0,combo,-10.084012031555176,-5.1895246505737305,0.6170204281806946,0.5914895534515381
right,combo,0,combo,-9.9677152633667,-5.184168815612793,0.5886473655700684,0.5165306329727173
right,combo,0,combo,-9.965436935424805,-5.2162933349609375,0.6183801293373108,0.5277355313301086
right,combo,0,combo,-10.046162605285645,-5.224533557891846,0.6290661096572876,0.5693097114562988
right,combo,0,combo,-10.100102424621582,-5.215823650360107,0.6709927320480347,0.6332399249076843
right,combo,0,combo,-10.010079383850098,-5.1509928703308105,0.5808410048484802,0.5432726144790649
right,combo,0,combo,-10.007875442504883,-5.151415824890137,0.5782239437103271,0.540094792842865
right,combo,0,combo,-10.040078163146973,-5.18550443649292,0.5929629802703857,0.5518079996109009
right,combo,0,combo,-10.05982780456543,-5.192008972167969,0.6029263138771057,0.5669991374015808
right,combo,0,combo,-10.06329345703125,-5.200173377990723,0.6136319637298584,0.5740440487861633
right,combo,0,combo,-10.045729637145996,-5.209183216094971,0.6133612990379333,0.561667799949646
right,combo,0,combo,-9.981696128845215,-5.172378063201904,0.5905893445014954,0.5288547277450562
right,combo,0,combo,-9.982316017150879,-5.22698974609375,0.6207379698753357,0.532681405544281
